Category Name,Total_Orders,Total_Sales,Total_Gross_Profit,Total_Penalty_Loss,Late_Delivery_Pct,Net_Profit
Accessories,1780,119712.54948536,16643.520073949,3572.1484858725003,56.96629213483146,13071.3715880765
As Seen on  TV!,68,18519.60993168,714.429979709,586.665497199,57.35294117647059,127.76448251
Baby ,207,10957.40014276,1525.02999227,300.3370042825,52.65700483091788,1224.6929879875001
Baseball & Softball,632,84367.27085249001,12762.130067433,2303.9700224910002,55.22151898734177,10458.160044942
Basketball,67,24705.3296188,1845.670003454,770.6299880500001,55.223880597014926,1075.0400154039999
Books ,405,11303.42003274,883.010007794,326.2235010205,56.54320987654321,556.7865067734999
Boxing & MMA,423,76286.71994106,8641.370006251,2276.3644975765,56.26477541371159,6365.0055086745
CDs ,271,2750.0299979349998,383.849999637,74.74699993405,52.02952029520295,309.10299970295
Cameras ,592,240496.6790167,30289.799945644998,7460.47247011,58.108108108108105,22829.327475535
Camping & Hiking,13729,3700783.6284585,427455.568105731,105310.25702436,54.534197683735165,322145.311081371
Cardio Equipment,12487,3320250.69863897,383011.098484708,94275.974904149,54.496676543605346,288735.123580559
Children's Clothing,652,209268.38055539998,27178.099596873,5919.663017305,53.37423312883436,21258.436579568
Cleats,24551,3982856.502617,494636.919790561,113778.81950451701,54.97128426540671,380858.100286044
Computers,442,595395.0,69656.81017112,15685.5,50.678733031674206,53971.31017112
Consumer Electronics,431,97937.5598153,13223.399925575,2891.41999591,55.22041763341067,10331.979929665
Crafts,484,200704.8703333,25531.17006045,5969.943512035,55.99173553719008,19561.226548415
DVDs,483,71319.3796864,6655.430088233999,2003.662988885,53.62318840579711,4651.767099348999
Electronics,3156,333327.2607972,40891.379917647,9667.8160255195,56.083650190114064,31223.5638921275
Fishing,17325,6226935.290565399,756220.767189502,178415.36186454,54.926406926406926,577805.405324962
Fitness Accessories,309,31751.36004609,5258.390016192,924.4975021635,56.957928802588995,4333.8925140285
Garden,484,231765.4602916,33443.010106141,6585.484005595,55.78512396694215,26857.526100546
Girls' Apparel,1201,136206.83021776,17288.569972693,3801.551502832,55.28726061615321,13487.018469861
Golf Apparel,441,31447.4397102,3496.309982897,828.1594928535001,51.92743764172335,2668.1504900434998
Golf Bags & Carts,61,9403.7900006,1810.069992479,323.531499855,68.85245901639344,1486.538492624
Golf Balls,1475,69341.24954266,8342.670023919,2001.6829852925002,54.57627118644067,6340.987038626499
Golf Gloves,1070,104787.400320521,12975.490078118,3133.96650667985,56.26168224299065,9841.52357143815
Golf Shoes,524,96506.4699898,12406.070142829,2769.676000406,55.534351145038165,9636.394142423
Health and Beauty,362,95358.1102879,9493.629974264,2794.86800606,55.80110497237569,6698.761968204
Hockey,614,43618.36004757,5397.430012878,1198.03849981,53.583061889250814,4199.391513068
Hunting & Shooting,440,50878.9100799,5979.9999452990005,1469.8225026025,56.13636363636364,4510.1774426965
Indoor/Outdoor Games,19298,2596454.01613738,318451.430554194,74379.29881675601,54.74660586589284,244072.13173743803
Kids' Golf Clubs,384,89473.69946238,9045.839895538,2623.91148032,53.385416666666664,6421.928415218
Lacrosse,343,35415.92979094,4364.289984193,1110.1144951275,60.05830903790087,3254.1754890655
Men's Clothing,208,39365.7099925,2006.039969416,1115.6600006350002,54.32692307692307,890.3799687809999
Men's Footwear,22246,2598494.42070502,311902.820213578,73940.267446151,54.48619976625011,237962.552767427
Men's Golf Clubs,283,42382.78980129,5517.989977266,1038.2389953285,47.70318021201413,4479.7509819375
Music,434,101687.28986620001,14436.31992285,3035.9814947450004,57.14285714285714,11400.338428104998
Pet Supplies,492,37318.29984653,3589.259958614,1144.9704954115,58.94308943089431,2444.2894632025
Shop By Sport,10984,1177185.6271800501,129813.96031482199,33886.585208588,55.15294974508376,95927.37510623399
Soccer,138,23909.94973655,3901.949953447,679.060990992,54.347826086956516,3222.888962455
Sporting Goods,357,105063.6115112,12518.610118848,3143.450045765,55.46218487394958,9375.160073083
Strength Training,111,48813.8395335,332.31009052699983,1237.647486755,57.65765765765766,-905.3373962280002
Tennis & Racquet,328,40077.81034646,5747.979996385,1162.8615100185,55.79268292682927,4585.1184863665
Toys,529,5485.679967799,900.710000356,160.1209989523,55.009451795841215,740.5890014037
Trade-In,974,61667.54046302,7915.369984928,1851.3905141050002,55.64681724845995,6063.979470823
Video Games,838,29919.19986883,2717.519996736,840.778996269,54.295942720763726,1876.741000467
Water Sports,15540,2798044.184858,325146.96003752,80121.3444259,54.80694980694981,245025.61561161999
Women's Apparel,21035,2828708.5,350421.02956735,80795.925,54.55669122890421,269625.10456735
Women's Clothing,650,126006.9303264,19102.849930084,3691.723011715,56.46153846153846,15411.126918369002
Women's Golf Clubs,181,39984.38980097,5028.639929453,1107.5189948940001,53.591160220994475,3921.120934559
